Symbol,Company,EV,SharesOutstanding,Price,PriceChange,Sector,Industry
IQV,IQVIA Holdings Inc.,46277918720,185548992,187.0800018310547,0.797414779663089,Healthcare,Diagnostics & Research
IRM,Iron Mountain Incorporated,29347305472,290896000,55.02000045776367,0.6218003982510464,Real Estate,REIT—Specialty
JBHT,"J.B. Hunt Transport Services, Inc.",19819005952,103648000,178.4149932861328,1.7769499635669144,Industrials,Integrated Freight & Logistics
JKHY,"Jack Henry & Associates, Inc.",12204351488,72990704,154.35000610351562,-3.5071229660442502,Technology,Information Technology Services
J,Jacobs Solutions Inc.,18458019840,126714000,115.62000274658203,1.0487700983936632,Industrials,Engineering & Construction
SJM,The J. M. Smucker Company,21227915264,106636000,159.05999755859375,0.22052646877559196,Consumer Defensive,Packaged Foods
JNJ,Johnson & Johnson,457163079680,2598729984,164.60499572753906,-0.25753152303274474,Healthcare,Drug Manufacturers—General
JCI,Johnson Controls International plc,51708841984,687174016,59.689998626708984,-0.33394785989483416,Industrials,Building Products & Equipment
JPM,JPMorgan Chase & Co.,-364893077504,2922299904,138.0850067138672,-0.6010605284572417,Financial Services,Banks—Diversified
JNPR,"Juniper Networks, Inc.",10305372160,321592000,29.204999923706055,0.08567485848545227,Technology,Communication Equipment
K,Kellogg Company,31699480576,342668000,71.51000213623047,0.46361637571011793,Consumer Defensive,Packaged Foods
KEY,KeyCorp,43867074560,935228992,9.954999923706055,2.523171201916105,Financial Services,Banks—Regional
KEYS,"Keysight Technologies, Inc.",25541171200,178139008,143.97000122070312,1.0883311478044781,Technology,Scientific & Technical Instruments
KMB,Kimberly-Clark Corporation,57516023808,337380992,145.6699981689453,-0.14395518991957976,Consumer Defensive,Household & Personal Products
KIM,Kimco Realty Corporation,18647922688,619891968,18.524999618530273,-0.026985329032529405,Real Estate,REIT—Retail
KMI,"Kinder Morgan, Inc.",70120448000,2248019968,16.600000381469727,-0.4796140199656663,Energy,Oil & Gas Midstream
KLAC,KLA Corporation,55093788672,137199008,379.8500061035156,0.36993159030668155,Technology,Semiconductor Equipment & Materials
KHC,The Kraft Heinz Company,68345384960,1227000064,41.17499923706055,4.372621640204167,Consumer Defensive,Packaged Foods
KR,The Kroger Co.,54790799360,717468032,49.2599983215332,-0.36408106486002145,Consumer Defensive,Grocery Stores
LHX,"L3Harris Technologies, Inc.",47159468032,189452992,189.7100067138672,0.07385488941667687,Industrials,Aerospace & Defense
LH,Laboratory Corporation of America Holdings,25935869952,88500896,227.1699981689453,0.5399416547666847,Healthcare,Diagnostics & Research
LRCX,Lam Research Corporation,69745483776,134340000,519.8599853515625,-0.38706496674283275,Technology,Semiconductor Equipment & Materials
LW,"Lamb Weston Holdings, Inc.",18805057536,145704000,112.20999908447266,0.7090280779686362,Consumer Defensive,Packaged Foods
LVS,Las Vegas Sands Corp.,57857634304,764270976,62.41999816894531,-1.9016216109613233,Consumer Cyclical,Resorts & Casinos
LEG,"Leggett & Platt, Incorporated",6266953216,133074000,32.619998931884766,0.9282145169701899,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
LDOS,"Leidos Holdings, Inc.",18073960448,137192992,82.41999816894531,2.2453767137393785,Technology,Information Technology Services
LEN,Lennar Corporation,34144991232,253772992,114.62999725341797,1.4065793112331586,Consumer Cyclical,Residential Construction
LNC,Lincoln National Corporation,5471491072,169538000,21.375,4.014598540145982,Financial Services,Insurance—Life
LIN,Linde plc,197706711040,490252000,366.80999755859375,-0.8728792674862907,Basic Materials,Specialty Chemicals
LYV,"Live Nation Entertainment, Inc.",18973257728,231591008,67.80000305175781,0.07380524244695572,Communication Services,Entertainment
LKQ,LKQ Corporation,19257204736,267290000,57.724998474121094,0.8825558792748949,Consumer Cyclical,Auto Parts
LMT,Lockheed Martin Corporation,129375059968,254519008,457.239990234375,-0.35956542213275217,Industrials,Aerospace & Defense
L,Loews Corporation,13869562880,227898000,59.165000915527344,0.24568098191687665,Financial Services,Insurance—Property & Casualty
LOW,"Lowe's Companies, Inc.",158930501632,596355968,209.5399932861328,1.7332588659187325,Consumer Cyclical,Home Improvement Retail
LUMN,"Lumen Technologies, Inc.",2343050240,1004870016,2.4800000190734863,5.982906798012243,Communication Services,Telecom Services
LYB,LyondellBasell Industries N.V.,41829638144,325273984,91.5,-0.47857298237981044,Basic Materials,Specialty Chemicals
MTB,M&T Bank Corporation,12363523072,168044000,120.1449966430664,2.338157276887905,Financial Services,Banks—Regional
MRO,Marathon Oil Corporation,20866887680,622875008,22.479999542236328,-1.1433617315904587,Energy,Oil & Gas E&P
MPC,Marathon Petroleum Corporation,54561673216,441625984,112.43000030517578,-3.8813368340807197,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess Holdings Inc.,11620009984,37669400,303.54998779296875,-4.864140222218085,Financial Services,Capital Markets
MAR,"Marriott International, Inc.",52423733248,308884000,180.16000366210938,0.8678146028270316,Consumer Cyclical,Lodging
MMC,"Marsh & McLennan Companies, Inc.",103020478464,494720992,179.8621063232422,0.20173054219620473,Financial Services,Insurance Brokers
MLM,"Martin Marietta Materials, Inc.",28087181312,61997000,374.7200012207031,0.7718169209904806,Basic Materials,Building Materials
MAS,Masco Corporation,15372723200,225088992,53.93000030517578,1.125070889135164,Industrials,Building Products & Equipment
MA,Mastercard Incorporated,365098008576,940179968,378.42999267578125,0.6382450006066743,Financial Services,Credit Services
MTCH,"Match Group, Inc.",13029320704,279324000,36.970001220703125,6.8806048589277875,Communication Services,Internet Content & Information
MKC,"McCormick & Company, Incorporated",28580968448,250838000,88.2074966430664,-0.02550533484483478,Consumer Defensive,Packaged Foods
MCD,McDonald's Corporation,263885570048,730032000,296.135009765625,-0.649173091681482,Consumer Cyclical,Restaurants
